OBJECTID,BasinCode,Description,Latitude,Longitude,Ecoregion,Planning_Segment,WebData,County,HUC8,Basin,Status,Title,AssessmentUnit,x,y
275,ARK0218,"Cove Creek on Scout Dr at Camp Rockefeller Boyscout Camp, 2.9 mi W of Damascus",35.36,-92.46,ARRV,3D,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0218#display,23,11110205,ARK0218,A,Water Quality Monitoring Station,AR_11110205_016,-10292569.323,4213282.63
276,ARK0219,"West Fork Mill Creek bridge 1 mi down Wroten Rd off of AR-60 E of Houston, AR",35.01,-92.67,ARRV,3E,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0219#display,53,11110206,ARK0219,A,Water Quality Monitoring Station,,-10316321.708,4165290.076
277,ARK0220,"East Fork Point Remove Creek on Fryer Bridge Rd, 2.15 mi NE of Hickory Hill",35.27,-92.71,ARRV,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0220#display,15,11110203,ARK0220,A,Water Quality Monitoring Station,AR_11110203_014,-10320799.223,4200562.508
278,ARK0221,West Fork Point Remove bridge on Pear Tree Rd north of Cleveland ,35.45,-92.71,ARRV,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0221#display,15,11110203,ARK0221,A,Water Quality Monitoring Station,AR_11110203_018,-10320738.924,4224856.001
279,ARK0222,"Clear Creek on Cannaday Flat Rd, 1 mi S of Welcome",35.44,-92.91,ARRV,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0222#display,58,11110203,ARK0222,A,Water Quality Monitoring Station,AR_11110203_023,-10342489.511,4223206.829
280,ARK0223,Rocky Cypress Creek bridge on Smith Crossing (AR-65) off AR-10 between Perry and Adona,35.05,-92.85,ARRV,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0223#display,53,11110203,ARK0223,A,Water Quality Monitoring Station,AR_11110203_033,-10335569.407,4170813.649
281,ARK0224,Little Cypress Creek	bridge on Saltillo Rd North of Saltillo,35.04,-92.31,ARRV,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0224#display,23,11110203,ARK0224,A,Water Quality Monitoring Station,,-10276295.873,4169679.257
282,ARK0225,"Smiley Bayou bridge on AR-7, 2.7 mi S of Dardanelle",35.18,-93.16,ARRV,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0225#display,75,11110203,ARK0225,A,Water Quality Monitoring Station,,-10370181.802,4188648.278
283,ARK0226,Washburn Creek bridge on Barber Rd just E of Barber,35.13,-94.05,ARRV,3G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0226#display,42,11110204,ARK0226,A,Water Quality Monitoring Station,AR_11110204_012,-10469463.336,4181456.251
284,ARK0227,Petit Jean River bridge on French Prairie Rd near Lucas,35.07,-94.09,ARRV,3G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0227#display,42,11110204,ARK0227,A,Water Quality Monitoring Station,AR_11110204_013,-10474092.024,4173778.035
285,ARK0228,Dutch Creek on AR-80 halfway between Danville and Waldron,34.96,-93.72,ARRV,3G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0228#display,64,11110204,ARK0228,A,Water Quality Monitoring Station,AR_11110204_015,-10432943.412,4157998.135
286,ARK0229,"Booneville Creek bridge on Helton Ln/Old Magazine Rd, just SE of Booneville",35.13,-93.91,ARRV,3G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0229#display,42,11110204,ARK0229,A,Water Quality Monitoring Station,,-10454106.284,4182143.725
287,ARK0230,"Rose Creek bridge on Casa Mountain Rd, about 3 mi NE of Casa",35.05,-93.02,ARRV,3G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0230#display,53,11110204,ARK0230,A,Water Quality Monitoring Station,,-10355014.143,4171104.657
288,ARK0231,"Massard Creek bridge on Massard Rd, just E of Fort Smith Regional Airport",35.33,-94.34,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0231#display,66,11110104,ARK0231,A,Water Quality Monitoring Station,AR_11110104_901,-10501990.699,4209373.739
289,ARK0232,"Vache Grasse Creek on AR-255, 1.6 mi NE of Central City",35.33,-94.23,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0232#display,66,11110201,ARK0232,A,Water Quality Monitoring Station,AR_11110201_023,-10489322.532,4208966.167
290,ARK0233,"Doctors Creek on AR-5/262, 2.6 mi NW of Charleston",35.32,-94.07,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0233#display,24,11110201,ARK0233,A,Water Quality Monitoring Station,AR_11110201_026,-10472363.699,4207604.06
291,ARK0234,"Spadra Creek bridge on AR-77, 5 mi N of Clarksville",35.54,-93.48,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0234#display,36,11110202,ARK0234,A,Water Quality Monitoring Station,AR_11110202_030,-10405933.961,4237336.515
292,ARK0235,"Mckinney Creek bridge on Whipporwill Rd, just S of I-40 off of Exit 47",35.50,-93.67,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0235#display,36,11110202,ARK0235,A,Water Quality Monitoring Station,AR_11110202_036,-10427591.124,4231795.747
293,ARK0236,"Hurricane Creek on AR-60, 3.4 mi N of Branch",35.35,-93.96,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0236#display,24,11110202,ARK0236,A,Water Quality Monitoring Station,AR_11110202_041,-10459247.102,4212077.738
294,ARK0237,"Sixmile Creek bridge on Ferguson Valley Rd just off of AR-23, 6 mi N of Booneville",35.22,-93.94,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0237#display,42,11110202,ARK0237,A,Water Quality Monitoring Station,AR_11110202_042,-10457387.982,4193207.838
295,ARK0238,"Little Mulberry Creek bridge on AR-156, 2 mi N of I-40 off Exit 20",35.54,-94.12,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0238#display,17,11110201,ARK0238,A,Water Quality Monitoring Station,,-10476963.513,4237555.173
296,ARK0239,Vine Prairie Creek bridge on Ham Town Rd 2 mi S of I-40 between Mulberry and Dyer,35.49,-94.10,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0239#display,17,11110201,ARK0239,A,Water Quality Monitoring Station,,-10474791.001,4231097.347
297,ARK0240,"Smith Creek on AR-23, 3.9 mi S of Webb City",35.41,-93.84,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0240#display,24,11110202,ARK0240,A,Water Quality Monitoring Station,,-10445983.576,4219755
298,ARK0241,"Cedar Creek on Kenny Hole Rd, 1.4 mi SE of Alix",35.41,-93.71,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0241#display,24,11110202,ARK0241,A,Water Quality Monitoring Station,,-10432122.991,4219594.004
299,ARK0242,"Little Spadra Creek on AR-22, 3 mi NW of Clarksville",35.49,-93.52,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0242#display,36,11110202,ARK0242,A,Water Quality Monitoring Station,,-10410942.285,4230170.048
300,ARK0243,Mill Creek	bridge on Brock Creek Rd east of New Blaine,35.28,-93.40,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0243#display,42,11110202,ARK0243,A,Water Quality Monitoring Station,,-10397493.61,4202151.067
301,ARK0244,Rock Creek bridge on Abbott Rd south of Abbott,35.05,-94.18,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0244#display,64,11110204,ARK0244,A,Water Quality Monitoring Station,,-10483619.477,4170048.028
302,ARK0245,"Onion Creek bridge on AR-252, 1.5 mi N of Beverly",35.39,-94.10,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0245#display,66,11110201,ARK0245,A,Water Quality Monitoring Station,,-10474742.59,4216384.47
303,ARK0246,"Poteau River on AR-80, 1 mi SE of Hon",34.93,-94.17,ARRV,3I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0246#display,64,11110105,ARK0246,A,Water Quality Monitoring Station,AR_11110105_031,-10482788.011,4154047.588
304,ARK0247,Prairie Creek bridge on Old Arko Rd off Hwy 252 west of Huntington,35.08,-94.30,ARRV,3I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0247#display,66,11110105,ARK0247,A,Water Quality Monitoring Station,AR_11110105_035,-10497857.151,4174941.389
305,ARK0248,Shadley Creek bridge on Hwy 28 west of Bates near the OK border,34.91,-94.40,ARRV,3I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0248#display,64,11110105,ARK0248,A,Water Quality Monitoring Station,,-10508013.935,4151330.781
306,ARK0249,Prairie Creek bridge on Arkansas Tech Connect Trail. Parking lot near N Glenwood Ave & W O St,35.30,-93.15,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0249#display,58,11110202,ARK0249,A,Water Quality Monitoring Station,,-10369027.604,4204319.457
307,ARK0250,McKisic Creek bridge on West McNelly Rd. 3.5 mi N of Bentonville,36.42,-94.22,ARRV,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0250#display,04,11070208,ARK0250,A,Water Quality Monitoring Station,AR_11070208_901,-10488649.895,4359051.742
308,ARK0251,Spavinaw Creek bridge on CR-525 SE of Gravette,36.40,-94.42,ARRV,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0251#display,04,11070209,ARK0251,A,Water Quality Monitoring Station,AR_11070209_048,-10510230.622,4355336.53
309,ARK0252,Cincinnati Creek bridge on Co Rd 7/Cincinnati Rd in Cincinnati,36.04,-94.51,ARRV,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0252#display,72,11110103,ARK0252,A,Water Quality Monitoring Station,AR_11110103_021,-10520756.85,4305891.925
310,ARK0253,"Evansville Creek bridge on Hwy 59, North of Evansville",35.81,-94.50,ARRV,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0253#display,72,11110103,ARK0253,A,Water Quality Monitoring Station,AR_11110103_012,-10519162.711,4273826.803
311,ARK0254,Mill Creek on county road 1 mile east of Greenbrier 2O5J83-84 (oringinally ARKAA),35.25,-92.34,ARRV,3B,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0254#display,27,08040203,ARK0254,A,Water Quality Monitoring Station,,-10279197.934,4197461.465
312,ARK0255,Moore’s Creek on SR62 W of Farmington,36.02,-94.37,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0255#display,72,11110103,ARK0255,A,Water Quality Monitoring Station,,-10505660.532,4303272.261
313,ARK0256,Little Osage Creek on SR264 near Healing Springs,36.25,-94.27,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0256#display,04,11110103,ARK0256,A,Water Quality Monitoring Station,,-10494176.293,4335606.378
314,ARK0257,Caney Bayou on Harbor Oaks Dr near the nature center in N Pibe Bluff,34.24,-91.99,DELT,3C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0257#display,35,11110207,ARK0257,A,Water Quality Monitoring Station,,-10240734.804,4061146.848
315,ARK0258,Caney Bayou on Hwy 79 in N Pine Bluff,34.25,-92.02,DELT,3C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0258#display,35,11110207,ARK0258,A,Water Quality Monitoring Station,,-10243264.87,4062838.008
316,ARKAA,Mill Creek on county road 1 mile east of Greenbrier 2O5J83-84,35.25,-92.34,ARRV,3B,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARKAA#display,27,08040203,ARKAA,I,Water Quality Monitoring Station,,-10279197.934,4197461.465
317,ARKBB,"North Fork Cadron Creek 1 mile south of Hwy 92, 205J83-84",35.48,-92.28,ARRV,3B,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARKBB#display,71,11110205,ARKBB,I,Water Quality Monitoring Station,,-10272803.552,4229439.43
318,ARKCC,Hurricane Creek 205J83-84,35.70,-93.24,BOMT,3B,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARKCC#display,36,11110202,ARKCC,I,Water Quality Monitoring Station,,-10379552.529,4259804.677
319,ARKDD,Indian Creek 205J83-84,35.60,-93.14,BOMT,3B,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARKDD#display,58,11110202,ARKDD,I,Water Quality Monitoring Station,,-10368231.333,4246323.951
320,ARKEE,Dutch Creek 205J ""84-85"",35.70,-93.52,ARRV,3G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARKEE#display,36,11110201,ARKEE,I,Water Quality Monitoring Station,,-10410321.245,4259804.675
321,ARKFF,Illinois Bayou 205J ""83-84"",35.50,-93.97,BOMT,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARKFF#display,24,11110201,ARKFF,I,Water Quality Monitoring Station,,-10460904.833,4232299.137
322,ATH001,Pike County Domestic Well 001,34.33,-93.51,OUMT,2F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH001#display,55,08040102,ATH001,A,Water Quality Monitoring Station,,-10409348.301,4072565.44
323,ATH002,Pike County Domestic Well 002,34.31,-93.70,OUMT,2G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH002#display,55,08040103,ATH002,A,Water Quality Monitoring Station,,-10430645.952,4071012.719
324,ATH003,Howard County Domestic Well 003,34.29,-93.94,OUMT,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH003#display,31,11140109,ATH003,A,Water Quality Monitoring Station,,-10457825.726,4068425.325
325,ATH004,Howard County Domestic Well 004,34.31,-94.02,OUMT,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH004#display,31,11140109,ATH004,A,Water Quality Monitoring Station,,-10465878.58,4070756.647
326,ATH005,Howard County Domestic Well 005,34.31,-94.01,OUMT,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH005#display,31,11140109,ATH005,A,Water Quality Monitoring Station,,-10465486.735,4070752.604
327,ATH006,Howard County Domestic Well 006,34.26,-94.07,OUMT,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH006#display,31,11140109,ATH006,A,Water Quality Monitoring Station,,-10471696.138,4064433.544
328,ATH007,Howard County Domestic Well 007,34.26,-94.07,OUMT,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH007#display,31,11140109,ATH007,A,Water Quality Monitoring Station,,-10471696.138,4064433.544
329,ATH008,Howard County Domestic Well 008,34.29,-94.18,OUMT,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH008#display,31,11140109,ATH008,A,Water Quality Monitoring Station,,-10484192.867,4068062.866
330,ATH009,Polk County Unused Spring 009,34.35,-94.26,OUMT,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH009#display,57,11140109,ATH009,A,Water Quality Monitoring Station,,-10493531.462,4075432.867
331,ATH010,Pike County Domestic Well 010,34.22,-93.93,OUMT,2G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH010#display,55,08040103,ATH010,A,Water Quality Monitoring Station,,-10455683.938,4058323.982
332,ATH011,Pike County Domestic Well 011,34.19,-93.91,OUMT,2G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH011#display,55,08040103,ATH011,A,Water Quality Monitoring Station,,-10453822.675,4054614.335
333,ATH012,Pike County Domestic Well 012,34.07,-93.70,GULF,2G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH012#display,55,08040103,ATH012,A,Water Quality Monitoring Station,,-10430915.343,4037946.653
334,ATH013,Pike County Domestic Well 013,34.07,-93.71,GULF,2G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH013#display,55,08040103,ATH013,A,Water Quality Monitoring Station,,-10432166.575,4037594.573
335,ATH014,Pike County Domestic Well 014,34.07,-93.71,GULF,2G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH014#display,55,08040103,ATH014,A,Water Quality Monitoring Station,,-10431686.788,4038199.296
336,ATH014A,Pike County Poultry Well 014A,34.07,-93.71,GULF,2G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH014A#display,55,08040103,ATH014A,A,Water Quality Monitoring Station,,-10431894.955,4037896.931
337,ATH015,Howard County PWS Well 015,33.88,-93.91,GULF,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH015#display,31,11140109,ATH015,A,Water Quality Monitoring Station,,-10454411.553,4012143.345
338,ATH016,Howard County PWS Well 016,33.88,-93.92,GULF,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH016#display,31,11140109,ATH016,A,Water Quality Monitoring Station,,-10454698.758,4012816.446
339,ATH017,Howard County PWS Well 017,33.87,-93.92,GULF,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH017#display,31,11140109,ATH017,A,Water Quality Monitoring Station,,-10455325.486,4012022.674
340,ATH018,Howard County PWS Well 018,33.80,-93.96,GULF,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH018#display,31,11140109,ATH018,A,Water Quality Monitoring Station,,-10459753.776,4002442.749
341,ATH019,Howard County Domestic Well 019,33.93,-93.89,GULF,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH019#display,31,11140109,ATH019,A,Water Quality Monitoring Station,,-10451272.343,4019304.114
342,ATH020,Howard County Domestic Well 020,33.95,-93.96,GULF,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH020#display,31,11140109,ATH020,A,Water Quality Monitoring Station,,-10459522.233,4022138.008
343,ATH021,Howard County Domestic Well 021,33.96,-93.96,GULF,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH021#display,31,11140109,ATH021,A,Water Quality Monitoring Station,,-10459485.498,4023127.084
344,ATH022,Pike County Domestic Well 022,34.01,-93.57,GULF,2G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH022#display,55,08040103,ATH022,A,Water Quality Monitoring Station,,-10415785.907,4029936.189
345,ATH023,Pike County Domestic Well 023,34.04,-93.67,GULF,2G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH023#display,55,08040103,ATH023,A,Water Quality Monitoring Station,,-10427475.57,4034243.649
346,ATH024,Pike County PWS Well 024,34.16,-93.73,OUMT,2G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH024#display,55,08040103,ATH024,A,Water Quality Monitoring Station,,-10434040.083,4049902.303
347,ATH025,Pike County Domestic Well 025,34.24,-93.64,OUMT,2G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH025#display,55,08040103,ATH025,A,Water Quality Monitoring Station,,-10424138.212,4061046.419
348,ATH025A,Pike County Unused Spring 025A,34.24,-93.64,OUMT,2G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH025A#display,55,08040103,ATH025A,A,Water Quality Monitoring Station,,-10423957.875,4061074.697
349,ATH026,Montgomery County Domestic Well 026,34.36,-93.50,OUMT,2F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH026#display,49,08040102,ATH026,A,Water Quality Monitoring Station,,-10408374.256,4076909.336
350,ATH027,Howard County PWS Well 027,33.83,-93.89,GULF,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ATH027#display,31,11140109,ATH027,A,Water Quality Monitoring Station,,-10452021.523,4005677.156
351,BEL0001,"Big Bellville Creek S of Lockesburg, AR on Gore Rd.",33.93,-94.20,GULF,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BEL0001#display,67,11140109,BEL0001,A,Water Quality Monitoring Station,,-10486491.803,4019584.032
352,BLB0001,"Blue Bayou west of Mineral Springs, AR on Cornbridge Rd",33.88,-94.00,GULF,1C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BLB0001#display,31,11140109,BLB0001,I,Water Quality Monitoring Station,,-10464189.171,4012030.718
353,BLSA001,LINKER SITE:Frank Breedlove pasture near Alum Cove.,35.87,-93.24,BOMT,4J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BLSA001#display,51,11010005,BLSA001,I,Water Quality Monitoring Station,,-10379641.586,4282488.171
354,BLSA002,"ENDERS SITE: Frand Breedlove pasture, bench.",35.88,-93.24,BOMT,4J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BLSA002#display,51,11010005,BLSA002,I,Water Quality Monitoring Station,,-10379897.621,4284274.115
355,BLSA003,NELLA SITE: Frank Breedlove pasture above waste system.,35.88,-93.25,BOMT,4J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BLSA003#display,51,11010005,BLSA003,I,Water Quality Monitoring Station,,-10380109.128,4284013.075
356,BLSA004,NOARK SITE: Pasture behind SCS office.,36.02,-93.18,BOMT,4J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BLSA004#display,51,11010005,BLSA004,I,Water Quality Monitoring Station,,-10372472.61,4302920.406
357,BNE002,Boone County Aquaculture Spring 002,36.30,-93.19,OZHI,4I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE002#display,05,11010003,BNE002,A,Water Quality Monitoring Station,,-10373316.58,4341835.718
358,BNE003,Boone County Domestic Spring 003,36.32,-93.27,OZHI,4K,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE003#display,05,11010001,BNE003,A,Water Quality Monitoring Station,,-10383135.91,4344280.762
359,BNE005,Boone County Unused Spring 005,36.33,-93.23,OZHI,4K,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE005#display,05,11010001,BNE005,A,Water Quality Monitoring Station,,-10378261.228,4345959.481
360,BNE005A,Boone County Domestic Spring 005A,36.33,-93.23,OZHI,4K,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE005A#display,05,11010001,BNE005A,A,Water Quality Monitoring Station,,-10378110.947,4345764.653
361,BNE007,Boone County Domestic Spring 007,36.38,-93.21,OZHI,4I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE007#display,05,11010003,BNE007,A,Water Quality Monitoring Station,,-10375907.934,4353561.894
362,BNE007A,Boone County Unused Spring 007A,36.38,-93.21,OZHI,4I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE007A#display,05,11010003,BNE007A,A,Water Quality Monitoring Station,,-10375945.782,4353642.094
363,BNE008,Boone County Unused Spring 008,36.35,-93.18,OZHI,4I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE008#display,05,11010003,BNE008,A,Water Quality Monitoring Station,,-10372293.173,4349119.955
364,BNE008A,Boone County Domestic Spring 008A,36.42,-93.18,OZHI,4I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE008A#display,05,11010003,BNE008A,A,Water Quality Monitoring Station,,-10372267.786,4357940.558
365,BNE012,Boone County Domestic Spring 012,36.45,-93.13,OZHI,4I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE012#display,05,11010003,BNE012,A,Water Quality Monitoring Station,,-10366716.666,4362246.137
366,BNE013,Boone County Unused Spring 013,36.45,-93.20,OZHI,4K,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE013#display,05,11010001,BNE013,A,Water Quality Monitoring Station,,-10375264.507,4362646.222
367,BNE015,Boone County Unused Spring 015,36.47,-93.24,OZHI,4K,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE015#display,05,11010001,BNE015,A,Water Quality Monitoring Station,,-10379430.084,4365756.33
368,BNE017,Boone County Domestic Spring 017,36.50,-93.21,OZHI,4I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE017#display,05,11010003,BNE017,A,Water Quality Monitoring Station,,-10376359.892,4369095.82
369,BNE020,Boone County Domestic Well 020,36.32,-93.21,OZHI,4I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE020#display,05,11010001,BNE020,A,Water Quality Monitoring Station,,-10375589.559,4344867.939
370,BNE023,Boone County Domestic Well 023,36.38,-93.24,OZHI,4K,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE023#display,05,11010001,BNE023,A,Water Quality Monitoring Station,,-10379580.365,4352405.981
371,BNE024,Boone County Domestic Well 024,36.39,-93.27,OZHI,4K,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE024#display,05,11010001,BNE024,A,Water Quality Monitoring Station,,-10383151.495,4354274.031
372,BNE025,Boone County Domestic Well 025,36.39,-93.20,OZHI,4I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=BNE025#display,05,11010003,BNE025,A,Water Quality Monitoring Station,,-10374707.909,4354220.101
